Review,clean_text
"Firstly, Rose is a better person than me because I'd have done what that man told her and spent the rest of my days in prison, in peace. 7/10, this is the rating I'd give if I hadn't watched a lot of horrors so that's what I'm sticking with, it reminds me so much of The Ring and has a lot of the orthodox methods other horror movies used to incite fear. So nothing groundbreaking, still, for the most part they are stilly effective. Only problem is you can figure out how it's probably gonna end. I went into this pretty dozy but the first scare woke me straight up. There's a lot of jump scares and they have the desired affect then they start to get repetitive, which doesn't bode well for the end of the movie because it feels amazing at first then quickly starts to feel unimaginative as the movie keeps depending on the same old tricks. Unfortunately horror movies need to peak towards or at the end so that they leave you with a lasting impression to make you afraid to sleep in the dark. It however still is the best horror I've seen so far this year by quite some margin. I also really loved the title sequence at the beginning of the movie as well. The 'sanatorium + demon possession' horror formula is always a welcome for me.Funny thing about horrors is how tough people try to act afterwards, I sat close to this couple that were squirming at literally every jumpscare, then at the end of the movie both went ""it's probably like a 4/10"" ""yeah, horror movies just aren't scary anymore"" and that really just made my day lmfao.",firstly rose better person done man told spent rest day prison peace rating give watched lot horror sticking reminds much ring lot orthodox method horror movie used incite fear nothing groundbreaking still part stilly effective problem figure probably gonna end went pretty dozy first scare woke straight lot jump scare desired affect start get repetitive bode well end movie feel amazing first quickly start feel unimaginative movie keep depending old trick unfortunately horror movie need peak towards end leave lasting impression make afraid sleep dark however still best horror seen far year quite margin also really loved title sequence beginning movie well sanatorium demon possession horror formula always welcome funny thing horror tough people try act afterwards sat close couple squirming literally every jumpscare end movie went probably like yeah horror movie scary anymore really made day lmfao
"It's hard to shake the uneasy feeling of this film. It's grim and foggy but at the core is the idea that when trauma is passed from person to person it will consume you. With that in hand, director Parker Finn plays on the idea that most people who suffer through awful events in life will have their past consume them if they don't confront them. Dr. Rose Cotter (Sosie Bacon) is a clinical psychologist who surrounds herself with the mentally broken people of New Jersey (add your own joke here). You can basically connect the dots as to how she became good at her job. One fateful day a girl comes into her office and gruesomely ends her own life. That launches Sosie's journey into her own madness. Slowly seeing things in her life. Or being haunted by voices of her past. Whatever it is knows her greatest pains. And exploits it. The mystery isn't completely satisfying to solve, but the constant moments of jerky jumpscares definitely make you feel on edge.What I particularly like is the uneasy camera work. It isn't afraid to linger long within the frame. Nor add dutch angles. It plays like 70's cinema. The frames make you squirm. Though much of the scares are telegraphed. This isn't a slasher gory flick. It's really a psychological mind bender. As mentioned before, the resolution won't make you happy. But then, it really is watching someone work through their own mental illness. If that is interesting to you, this is the movie for you.",hard shake uneasy feeling film grim foggy core idea trauma passed person person consume hand director parker finn play idea people suffer awful event life past consume confront dr rose cotter sosie bacon clinical psychologist surround mentally broken people new jersey add joke basically connect dot became good job one fateful day girl come office gruesomely end life launch sosie journey madness slowly seeing thing life haunted voice past whatever know greatest pain exploit mystery completely satisfying solve constant moment jerky jumpscares definitely make feel edge particularly like uneasy camera work afraid linger long within frame add dutch angle play like cinema frame make squirm though much scare telegraphed slasher gory flick really psychological mind bender mentioned resolution make happy really watching someone work mental illness interesting movie
"I think this film's getting a little more credit than it deserves. There's a sense in which the threat in it is a metaphor for PTSD, but there's also a very straightforward ""It Follows""/""The Ring"" rip-off going on, and these two elements directly clash. The film spends a lot of time on things that ultimately have no impact on the plot, so it goes into the climax having not really mapped out the nature of the threat. It's unclear what it is or what would defeat it, and elements of both ideas crash into each other resulting in a fairly incoherent conclusion that seems to suggest that childhood trauma is completely insurmountable.It's not a bad film. The horror sequences are mostly well-constructed and the atmosphere of creeping doubt is compelling. But, oddly enough, the central hook that the film is named for is one of those elements that is ultimately irrelevant.",think film getting little credit deserves sense threat metaphor ptsd also straightforward follows ring rip going two element directly clash film spends lot time thing ultimately impact plot go climax really mapped nature threat unclear would defeat element idea crash resulting fairly incoherent conclusion seems suggest childhood trauma completely insurmountable bad film horror sequence mostly well constructed atmosphere creeping doubt compelling oddly enough central hook film named one element ultimately irrelevant
"Sosie Bacon plays an incompetent therapist who mutters platitudes and stands about doing precisely nothing while bad things happen to her patients.After demonstrating her inability to administer basic first aid to anyone within a fifty mile radius, she catches a case of the spooks. The spooks then follow her around being all creepy and not doing much, perhaps as an ironic form of mockery. None of the characters, supernatural or otherwise, seem to be any good at their jobs.This is dimwitted nonsense, but it's excellently produced. Decent acting, good cinematography, tight editing and engaging direction. It's a good time, despite the braindead characters, copy-paste writing, appalling dialogue and endless cliches. It's an amusing and occassionally effective pulpy jumpy horror - a highly polished turd that is so shiny you stop noticing the smell.Worth a watch, once, just for fun.",sosie bacon play incompetent therapist mutter platitude stand precisely nothing bad thing happen patient demonstrating inability administer basic first aid anyone within fifty mile radius catch case spook spook follow around creepy much perhaps ironic form mockery none character supernatural otherwise seem good job dimwitted nonsense excellently produced decent acting good cinematography tight editing engaging direction good time despite braindead character copy paste writing appalling dialogue endless cliche amusing occassionally effective pulpy jumpy horror highly polished turd shiny stop noticing smell worth watch fun
"I can't stop smiling at the mastery of filmmaking on display in Smile. The directing is topnotch. All of the technical aspects are pristine, especially the sound design. The musical score greatly enhances the mood. Even something as simple as transition shots are stunning. It's visually elite.I can't stop smiling at how ridiculously scary this movie is. I'm a 37-year-old man who has seen hundreds of horror flicks of all types. And yet this movie had me on edge from beginning to end. At points I was paranoid that someone was standing off to the side in the shadows of the theater. It continued afterwards, when I was startled by what turned out to be the shadow of the car behind me. And then again when the curbside lady brought my food out. I can't remember the last time a movie did this to me.I can't stop smiling at stumbling upon what might be my favorite movie of the year. I went in, as usual, without watching any trailers or looking up reviews/ratings. I had no expectations and was fully blown away. I was either smiling or had my jaw dropped for most of the runtime.I can't stop smiling at how impactful some of these scenes and moments are. I will never forget them. They are seared into my brain forever. Whoever came up with them, whoever designed them has to be some combination of genius and possibly disturbed. I love it. Maybe I'm disturbed too.I jumped about 20 times. None of the jump scares are cheap. They are all creative and earned. The few that are predictable still startle. I sometimes laughed afterwards at how bad it got me.I had a blast with Smile. It's not for the faint of heart or horror novices. For everyone else, for horror fans, for people who want high-quality cinema, this is the movie for you. (2 viewings, opening Friday UltraScreen 9/30/2022, UltraScreen 10/6/2022)",stop smiling mastery filmmaking display smile directing topnotch technical aspect pristine especially sound design musical score greatly enhances mood even something simple transition shot stunning visually elite stop smiling ridiculously scary movie year old man seen hundred horror flick type yet movie edge beginning end point paranoid someone standing side shadow theater continued afterwards startled turned shadow car behind curbside lady brought food remember last time movie stop smiling stumbling upon might favorite movie year went usual without watching trailer looking review rating expectation fully blown away either smiling jaw dropped runtime stop smiling impactful scene moment never forget seared brain forever whoever came whoever designed combination genius possibly disturbed love maybe disturbed jumped time none jump scare cheap creative earned predictable still startle sometimes laughed afterwards bad got blast smile faint heart horror novice everyone else horror fan people want high quality cinema movie viewing opening friday ultrascreen ultrascreen
"You never know when it's your turn, to watch another being squirm, as they shuffle off their coil, passing on to you turmoil, which will overwhelm and steal, all your passion and your zeal, just no way to grin and bear it, there's no escape, until you wear it.A reasonably original take on a very generic horror theme with an often used metaphor, but the performance from Sosie Bacon is noteworthy and convincing, as is the escalation, with one or two genuine jump scare moments ratcheting up the tension and keeping you engaged enough to hope for more. The special effects are fine and the potential for parts 2, 3 and more in the near future left beaming right back at you as the titles role.",never know turn watch another squirm shuffle coil passing turmoil overwhelm steal passion zeal way grin bear escape wear reasonably original take generic horror theme often used metaphor performance sosie bacon noteworthy convincing escalation one two genuine jump scare moment ratcheting tension keeping engaged enough hope special effect fine potential part near future left beaming right back title role
"Smile (2022) is a movie my wife and I caught an advanced screening of in theatres last night. The storyline follows a psychologist in an emergency center that one day receives a unique patient who recently witnessed her college professor commit suicide. She claims something is following her and she is experiencing and seeing strange things. The doctor tries to talk her down but the woman goes from crazy, to still to killing herself with a blunt object. As the doctor tries to deal with the tragedy she notices that she is starting to experience and see strange things...This movie is written and directed by Parker Finn in his directorial debut and stars Sosie Bacon (Scream: The Series), Jessie T. Usher (The Boys), Kyle Gallner (Scream 5), Caitlin Stasey (I, Frankenstein) and Kal Penn (Harold & Kumar Go to White Castle).This movie is very, very unique and has everything a horror genre fan is looking for. The storyline is a healthy mix of It Follows and The Conjuring. The writing is outstanding and the main character is developed perfectly - the sub plots of the dynamics of her upbringing are well told as is the nature of her relationship ship with her fiancé and her ex. Those aspects are done just enough but not too much. The scene executions are so good. There's a birthday party scene that cracked me up and was so fun. I also adored the drool scene, the mother/unveiling of the creature...and the fire sequence was well executed. There's honestly some well done jump scares in here too. The cinematography and setup of scenes in this movie are very, very good and the full circle ending was perfect.Overall, this is a brilliant addition to the horror genre that I would score a 8.5-9/10 and strongly recommend.",smile movie wife caught advanced screening theatre last night storyline follows psychologist emergency center one day receives unique patient recently witnessed college professor commit suicide claim something following experiencing seeing strange thing doctor try talk woman go crazy still killing blunt object doctor try deal tragedy notice starting experience see strange thing movie written directed parker finn directorial debut star sosie bacon scream series jessie usher boy kyle gallner scream caitlin stasey frankenstein kal penn harold kumar go white castle movie unique everything horror genre fan looking storyline healthy mix follows conjuring writing outstanding main character developed perfectly sub plot dynamic upbringing well told nature relationship ship fianc ex aspect done enough much scene execution good birthday party scene cracked fun also adored drool scene mother unveiling creature fire sequence well executed honestly well done jump scare cinematography setup scene movie good full circle ending perfect overall brilliant addition horror genre would score strongly recommend
"First off, salute to the director and writer. In the wrong hands, this could have easily fallen into complete silliness.Secondly, the movie doesn't cater to the PG13 crowd. It felt more real. The character acts and reacts in a genuine way we would all react if some insane situation arose.Third, it was a smooth ride. No real filler or derailing of the tense plot.So, what's the problem? It's the last 15 or so minutes. It goes in a random direction. An under devoped detail, which is more like an afterthought throughout, ends up front and center as the solution. It wasn't interesting and it wasn't the right way to go. I will say that the very last scene does give us a good payoff, though.Bottom line: I'd definitely recommend it. I think most viewers will really enjoy the bulk of the movie. I'm certain plenty of you will disagree with me regarding the ending and like it just fine. A solid 7 of 8 overall.",first salute director writer wrong hand could easily fallen complete silliness secondly movie cater pg crowd felt real character act reacts genuine way would react insane situation arose third smooth ride real filler derailing tense plot problem last minute go random direction devoped detail like afterthought throughout end front center solution interesting right way go say last scene give u good payoff though bottom line definitely recommend think viewer really enjoy bulk movie certain plenty disagree regarding ending like fine solid overall
"This little gem goes to show you that even the simplest of concepts, executed properly, can have the greatest success. I can't think of any seasoned filmmakers, given this concept, could've pulled it off as well as this was.In a nutshell, the horror in this film - a simple smile, just shouldn't have worked, but it did, and it did in a big way, only because of perfect directing, excellent cinematography, and the outstanding score. The real shocker here, is this was all put together buy an amateur filmmaker, Parker Finn, who wrote and directed this, his first feature film, based on one of his only two prior short films. So yeah, this near perfect gem is from an unexperienced newb filmmaker, and Finn has left his mark in this genre as the filmmaker to watch out for. Clearly, Sosie Bacon's spot-on performance helped seal the deal, but also note that her cast direction was from the same new inexperienced filmmaker.The pacing, albeit slow - which I'm not a fan of, actually worked perfectly in setting the film's tone. The nearly two-hour long runtime flew by. Along with the score that couldn't have been any better, and the sharp and intelligent cinematography, this film worked in every way to keep your heart pumping and your mind stressing. Surprisingly, there were even a few good jump-scares, a rarity for me. Even the special effects and prosthetics were top shelf.I've had this film on my radar for some time, but after seeing the trailer and rolling my eyes that this horror film is basically based on characters smiling, I laughed it off for many months, especially when I knew it was filmed by a no-name filmmaker. The only reason I finally decided to watch it, was from many of my friends raving how awesome it was. I'm sure glad I finally watched it, and recommend anyone who loves horror, thriller and mystery films to see this as well. I can't wait to see what Finn comes up with next.",little gem go show even simplest concept executed properly greatest success think seasoned filmmaker given concept could pulled well nutshell horror film simple smile worked big way perfect directing excellent cinematography outstanding score real shocker put together buy amateur filmmaker parker finn wrote directed first feature film based one two prior short film yeah near perfect gem unexperienced newb filmmaker finn left mark genre filmmaker watch clearly sosie bacon spot performance helped seal deal also note cast direction new inexperienced filmmaker pacing albeit slow fan actually worked perfectly setting film tone nearly two hour long runtime flew along score better sharp intelligent cinematography film worked every way keep heart pumping mind stressing surprisingly even good jump scare rarity even special effect prosthetics top shelf film radar time seeing trailer rolling eye horror film basically based character smiling laughed many month especially knew filmed name filmmaker reason finally decided watch many friend raving awesome sure glad finally watched recommend anyone love horror thriller mystery film see well wait see finn come next
"Smile is a new horror film directed and written by Parker Finn. After some short films, this is only his first real directing work.The film is about psychologist Rose Cotter (Sosie Bacon) who learns about a dark evil after a traumatic event with a new patient.This same evil continues to frighten and endanger her after this event. To stop this evil, she must learn its origins, but in doing so she is confronted with her own traumatic past.Film studio Paramount has tried to keep this film a bit of a secret and only promoted it with a hidden teaser on some films. Once the trailer hit the internet, it received a lot of positive attention. Because of this, the film studio decided to release the film in theaters, because at first the film would only be released on their streaming service. For example, they eventually had novice director Parker Finn direct this film and had it come up with a suitable story.For a first film, Parker Finn manages to portray the film beautifully and appropriately. He knows how to create creative transitions between some scenes. The images can only come across as somewhat familiar to horror fans, because many scenes come across in similar ways to scenes from other films, especially well-known horror films.Despite Parker Finn's good work, Paramount could have arranged for some extra people to give him some extra support. The story of the film is good, but not really original. Horror connoisseurs can quickly compare the story with stories from other horror films such as The Ring of It Follows. For example, the film can at times become a bit predictable for horror connoisseurs, who can then roughly predict what will happen in the film and thus anticipate the story itself.Parker Finn knows how to create a good tension with the way in which he manages to portray things together with an appropriate soundtrack and further frightening sounds. Unfortunately, this often only leads to a simple jump scare. After the umpteenth time, this can start to seem faint rather than being really scary. This allows the film to lose its tension level a bit.Parker Finn does try to bring out some other horror ways during the end of the film, but these are no longer as strong or frightening. If he had been more creative earlier in the movie with different horror elements, the movie could have been better and scarier. Around the end, he also seems to lose some of his focus, so that all of a sudden everything happens and seems to be possible.Despite the fact that Sosie Baconmeer is known as a TV actress, she knows how to deliver good and appropriate acting in this film. She comes across as someone who continues to be plagued by evil and must try to relive her traumatic past. She knows how to carry the film well, because the rest of the film cast is also more actors from TV series or small film roles. Most of them play their roles well, but with most of their characters it is possible to predict what will happen to them.",smile new horror film directed written parker finn short film first real directing work film psychologist rose cotter sosie bacon learns dark evil traumatic event new patient evil continues frighten endanger event stop evil must learn origin confronted traumatic past film studio paramount tried keep film bit secret promoted hidden teaser film trailer hit internet received lot positive attention film studio decided release film theater first film would released streaming service example eventually novice director parker finn direct film come suitable story first film parker finn manages portray film beautifully appropriately know create creative transition scene image come across somewhat familiar horror fan many scene come across similar way scene film especially well known horror film despite parker finn good work paramount could arranged extra people give extra support story film good really original horror connoisseur quickly compare story story horror film ring follows example film time become bit predictable horror connoisseur roughly predict happen film thus anticipate story parker finn know create good tension way manages portray thing together appropriate soundtrack frightening sound unfortunately often lead simple jump scare umpteenth time start seem faint rather really scary allows film lose tension level bit parker finn try bring horror way end film longer strong frightening creative earlier movie different horror element movie could better scarier around end also seems lose focus sudden everything happens seems possible despite fact sosie baconmeer known tv actress know deliver good appropriate acting film come across someone continues plagued evil must try relive traumatic past know carry film well rest film cast also actor tv series small film role play role well character possible predict happen
